% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
255088 +8.917311334e-12 +8.917311334e-12 +4.078000000e+01 +4.078000000e+01 -2.5121e+00 -1.7899e+00 +3.8939e+00 -2.1647e+00 -3.6689e+00 +6.1505e-01 -2.8065e+00 -2.1202e+00 +2.9401e+00 -3.1705e+00 +1.3664e+00 -2.3325e+00 +1.1332e+00 +2.6063e+00 -4.2139e-01 -1.1722e+00 +1.8392e+00 +7.0274e-01 +8.9296e-01 +1.0180e+00
261416 +6.259881502e-12 +6.259881502e-12 +4.078000000e+01 +4.078000000e+01 -2.5122e+00 -1.7892e+00 +3.8941e+00 -2.1647e+00 -3.6686e+00 +6.1439e-01 -2.8063e+00 -2.1202e+00 +2.9405e+00 -3.1705e+00 +1.3664e+00 -2.3328e+00 +1.1331e+00 +2.6062e+00 -4.2137e-01 -1.1729e+00 +1.8388e+00 +7.0326e-01 +8.9267e-01 +1.0178e+00
271073 +3.879563337e-12 +3.879563337e-12 +4.078000000e+01 +4.078000000e+01 -2.5129e+00 -1.7893e+00 +3.8938e+00 -2.1648e+00 -3.6684e+00 +6.1417e-01 -2.8063e+00 -2.1199e+00 +2.9404e+00 -3.1705e+00 +1.3669e+00 -2.3327e+00 +1.1333e+00 +2.6064e+00 -4.2177e-01 -1.1730e+00 +1.8385e+00 +7.0320e-01 +8.9276e-01 +1.0175e+00
274486 +2.415845302e-12 +2.415845302e-12 +4.078000000e+01 +4.078000000e+01 -2.5129e+00 -1.7893e+00 +3.8936e+00 -2.1647e+00 -3.6686e+00 +6.1456e-01 -2.8062e+00 -2.1196e+00 +2.9406e+00 -3.1705e+00 +1.3671e+00 -2.3329e+00 +1.1335e+00 +2.6069e+00 -4.2195e-01 -1.1728e+00 +1.8381e+00 +7.0312e-01 +8.9269e-01 +1.0169e+00
283180 +1.570299446e-12 +1.570299446e-12 +4.078000000e+01 +4.078000000e+01 -2.5133e+00 -1.7884e+00 +3.8934e+00 -2.1649e+00 -3.6684e+00 +6.1426e-01 -2.8058e+00 -2.1197e+00 +2.9405e+00 -3.1706e+00 +1.3675e+00 -2.3328e+00 +1.1337e+00 +2.6067e+00 -4.2225e-01 -1.1729e+00 +1.8378e+00 +7.0326e-01 +8.9268e-01 +1.0171e+00
289417 +9.023892744e-13 +9.023892744e-13 +4.078000000e+01 +4.078000000e+01 -2.5136e+00 -1.7890e+00 +3.8935e+00 -2.1652e+00 -3.6685e+00 +6.1422e-01 -2.8060e+00 -2.1197e+00 +2.9408e+00 -3.1703e+00 +1.3674e+00 -2.3333e+00 +1.1340e+00 +2.6069e+00 -4.2233e-01 -1.1731e+00 +1.8379e+00 +7.0334e-01 +8.9262e-01 +1.0168e+00
295584 +6.181721801e-13 +6.181721801e-13 +4.078000000e+01 +4.078000000e+01 -2.5136e+00 -1.7886e+00 +3.8933e+00 -2.1651e+00 -3.6686e+00 +6.1413e-01 -2.8059e+00 -2.1195e+00 +2.9406e+00 -3.1705e+00 +1.3676e+00 -2.3332e+00 +1.1340e+00 +2.6075e+00 -4.2246e-01 -1.1732e+00 +1.8376e+00 +7.0332e-01 +8.9265e-01 +1.0166e+00
301795 +3.623767952e-13 +3.623767952e-13 +4.078000000e+01 +4.078000000e+01 -2.5136e+00 -1.7883e+00 +3.8934e+00 -2.1653e+00 -3.6685e+00 +6.1418e-01 -2.8057e+00 -2.1191e+00 +2.9406e+00 -3.1703e+00 +1.3680e+00 -2.3333e+00 +1.1342e+00 +2.6075e+00 -4.2244e-01 -1.1732e+00 +1.8377e+00 +7.0340e-01 +8.9239e-01 +1.0167e+00
306775 +2.415845302e-13 +2.415845302e-13 +4.078000000e+01 +4.078000000e+01 -2.5136e+00 -1.7884e+00 +3.8934e+00 -2.1653e+00 -3.6686e+00 +6.1401e-01 -2.8055e+00 -2.1190e+00 +2.9407e+00 -3.1703e+00 +1.3682e+00 -2.3334e+00 +1.1342e+00 +2.6076e+00 -4.2257e-01 -1.1732e+00 +1.8376e+00 +7.0354e-01 +8.9241e-01 +1.0166e+00
313425 +1.563194019e-13 +1.563194019e-13 +4.078000000e+01 +4.078000000e+01 -2.5138e+00 -1.7880e+00 +3.8932e+00 -2.1653e+00 -3.6685e+00 +6.1444e-01 -2.8056e+00 -2.1190e+00 +2.9407e+00 -3.1701e+00 +1.3682e+00 -2.3336e+00 +1.1341e+00 +2.6075e+00 -4.2280e-01 -1.1734e+00 +1.8373e+00 +7.0344e-01 +8.9229e-01 +1.0163e+00
325077 +9.947598301e-14 +9.947598301e-14 +4.078000000e+01 +4.078000000e+01 -2.5140e+00 -1.7880e+00 +3.8931e+00 -2.1655e+00 -3.6684e+00 +6.1397e-01 -2.8056e+00 -2.1190e+00 +2.9408e+00 -3.1702e+00 +1.3682e+00 -2.3338e+00 +1.1342e+00 +2.6076e+00 -4.2272e-01 -1.1735e+00 +1.8371e+00 +7.0349e-01 +8.9229e-01 +1.0163e+00
328295 +4.973799150e-14 +4.973799150e-14 +4.078000000e+01 +4.078000000e+01 -2.5142e+00 -1.7880e+00 +3.8929e+00 -2.1655e+00 -3.6684e+00 +6.1390e-01 -2.8055e+00 -2.1188e+00 +2.9408e+00 -3.1701e+00 +1.3682e+00 -2.3337e+00 +1.1346e+00 +2.6079e+00 -4.2274e-01 -1.1736e+00 +1.8373e+00 +7.0362e-01 +8.9236e-01 +1.0164e+00
333478 +3.552713679e-14 +3.552713679e-14 +4.078000000e+01 +4.078000000e+01 -2.5142e+00 -1.7880e+00 +3.8930e+00 -2.1655e+00 -3.6684e+00 +6.1353e-01 -2.8055e+00 -2.1188e+00 +2.9410e+00 -3.1702e+00 +1.3682e+00 -2.3337e+00 +1.1345e+00 +2.6079e+00 -4.2276e-01 -1.1736e+00 +1.8371e+00 +7.0362e-01 +8.9226e-01 +1.0164e+00
342461 +2.131628207e-14 +2.131628207e-14 +4.078000000e+01 +4.078000000e+01 -2.5143e+00 -1.7879e+00 +3.8930e+00 -2.1655e+00 -3.6684e+00 +6.1383e-01 -2.8054e+00 -2.1189e+00 +2.9410e+00 -3.1702e+00 +1.3682e+00 -2.3337e+00 +1.1346e+00 +2.6080e+00 -4.2276e-01 -1.1736e+00 +1.8370e+00 +7.0359e-01 +8.9226e-01 +1.0160e+00
345699 +1.421085472e-14 +1.421085472e-14 +4.078000000e+01 +4.078000000e+01 -2.5144e+00 -1.7879e+00 +3.8929e+00 -2.1656e+00 -3.6684e+00 +6.1373e-01 -2.8055e+00 -2.1189e+00 +2.9409e+00 -3.1702e+00 +1.3682e+00 -2.3337e+00 +1.1347e+00 +2.6080e+00 -4.2278e-01 -1.1736e+00 +1.8369e+00 +7.0364e-01 +8.9221e-01 +1.0159e+00
350938 +7.105427358e-15 +7.105427358e-15 +4.078000000e+01 +4.078000000e+01 -2.5144e+00 -1.7878e+00 +3.8928e+00 -2.1656e+00 -3.6683e+00 +6.1368e-01 -2.8055e+00 -2.1188e+00 +2.9410e+00 -3.1701e+00 +1.3683e+00 -2.3338e+00 +1.1347e+00 +2.6080e+00 -4.2286e-01 -1.1736e+00 +1.8370e+00 +7.0360e-01 +8.9226e-01 +1.0160e+00
